doc_type,file_path,sentence_id,previous_sentence,sentence,next_sentence,target_word,concept,category
CONVRSN,KCP,3571,Look.,He might have got a **flea**.,He might have got a flea Rudy.,flea,flea,flee or insects
CONVRSN,KCP,3572,He might have got a flea.,He might have got a **flea** Rudy.,I doubt it .,flea,flea,flee or insects
CONVRSN,KCP,3576,"You see, see they do  most dogs go down the fields.",Quite possibly he has got a **flea** duck.,I sprayed him with that stuff.,flea,flea,flee or insects
CONVRSN,KCP,5029,it in the fur though,get him a **flea** collar,"The trouble is, if you put, I bought him one, but it knots all his fur up",flea,flea,flee or insects
CONVRSN,KBG,887,What wash?,Mum can I sing   I'm a little a **flea** ?,Sing happy birthday.,flea,flea,flee or insects
OTHERSP,KLY,230,"It's a lie and I tell you why it isn't the southern problem, it's every region's problem.","Every region here got this problem because all of you, every one of you have got local authority workers and other workers and Tylers is like a **flea** on a dog's back it's creeping in and they going, getting everywhere.","Now I work for a local authority so I've got a big interest in this, but I've also been involved as John will remember in a strike.",flea,flea,flee or insects
NEWS,K52,801,"Peter Sellers, subject of a season of movies on Channel 4 at present, starred in The Smallest Show on Earth.",This Fifties comedy was set in a ‘**flea** pit’ cinema called the Bijou where staff turned up the central heating to boiling point in a desert picture to boost ice cream sales.,ITV's World in Action sent two market traders from North Wales to Holland to flog cloth to the descendants of the famous rag traders of Tudor times.,flea,flea,flee or insects
CONVRSN,KST,2241,Right.,You got the **flea** powder?,Yeah.,flea,flea,flee or insects
OTHERPUB,K8Y,471,"However, some of the health improvement came about through natural reduction in disease.","For example, bubonic plague had largely disappeared either because rats developed an immunity to the bacillus or due to a change in the **flea** transmitters.","Likewise, immunity to typhoid and smallpox seems to have increased spontaneously in the human population.",flea,flea,flee or insects
OTHERPUB,BPC,1403,Enjoy the fun of the ‘greatest leaps’ display which illustrates that the leap of a kangaroo is double that of the human Olympic record.,"The frog makes a respectable showing, the **flea**, however, is better at the high jump!",OUR PLANET EARTH,flea,flea,flee or insects
OTHERPUB,BPE,209,"Either way, it has cut the vast queues.","For the artistically inclined the **flea** markets of Paris are full of interest and are, of course, totally free.","Otherwise wandering the boulevards, discovering unspoilt backwaters or just watching the people is as much fun as more expensive pastimes.",flea,flea,flee or insects
