category,concept,count,total,p
amphibians,crocodile,234,42380000,5.521472392638037e-6
amphibians,frog,372,42380000,8.77772534214252e-6
amphibians,salamander,105,42380000,2.477583765927324e-6
amphibians,toad,2630,42380000,6.205757432751298e-5
amphibians,tortoise,245,42380000,5.781028787163757e-6
birds,blackbird,214,42380000,5.049551675318546e-6
birds,canary,107,42380000,2.524775837659273e-6
birds,chickadee,339,42380000,7.999056158565361e-6
birds,chicken,1413,42380000,3.3341198678621994e-5
birds,crow,363,42380000,8.56536101934875e-6
birds,cuckoo,93,42380000,2.19443133553563e-6
birds,dove,832,42380000,1.9631901840490797e-5
birds,duck,1023,42380000,2.413874469089193e-5
birds,eagle,178,42380000,4.200094384143464e-6
birds,falcon,398,42380000,9.391222274657858e-6
birds,heron,126,42380000,2.973100519112789e-6
birds,magpie,129,42380000,3.0438886267107125e-6
birds,ostrich,25,42380000,5.899008966493629e-7
birds,owl,347,42380000,8.187824445493157e-6
birds,parakeet,79,42380000,1.8640868334119867e-6
birds,parrot,263,42380000,6.205757432751298e-6
birds,peacock,240,42380000,5.663048607833884e-6
birds,pelican,51,42380000,1.2033978291647003e-6
birds,penguin,32,42380000,7.550731477111845e-7
birds,pheasant,123,42380000,2.9023124115148655e-6
birds,robin,32,42380000,7.550731477111845e-7
birds,rooster,724,42380000,1.708352996696555e-5
birds,seagull,447,42380000,1.0547428032090609e-5
birds,sparrow,741,42380000,1.7484662576687117e-5
birds,stork,100,42380000,2.3596035865974516e-6
birds,swallow,204,42380000,4.813591316658801e-6
birds,swan,339,42380000,7.999056158565361e-6
birds,turkey,145,42380000,3.421425200566305e-6
birds,vulture,295,42380000,6.960830580462482e-6
birds,woodpecker,72,42380000,1.6989145823501652e-6
clothing,bathing_suit,35,42380000,8.258612553091081e-7
clothing,beanie,302,42380000,7.126002831524304e-6
clothing,belt,933,42380000,2.2015101462954224e-5
clothing,blouse,363,42380000,8.56536101934875e-6
clothing,boots,1122,42380000,2.6474752241623407e-5
clothing,bra,195,42380000,4.601226993865031e-6
