category,level,domain,gain
accordion,terminal,artifacts,0.20117402601117407
adjustable_spanner,terminal,artifacts,0.025408108381536586
airplane,terminal,artifacts,0.2582532320048485
alligator,terminal,animals,0.1315104632725957
anchovy,terminal,animals,0.014921724290063235
animals,starting,animals,19.33528148584953
ant,terminal,animals,0.1340599026051672
anvil,terminal,artifacts,0.12373968095942993
apron,terminal,artifacts,0.9949590611655862
artifacts,starting,artifacts,27.42515593172597
axe,terminal,artifacts,0.5216472352810269
bagpipe,terminal,artifacts,0.008285799786717424
banjo,terminal,artifacts,0.05003148021461983
bass_guitar,terminal,artifacts,0.09114723526461634
bassoon,terminal,artifacts,0.1189943046417605
bat,terminal,animals,0.28152998611826047
bathing_suit,terminal,artifacts,0.06329403218423883
bazooka,terminal,artifacts,0.01904776785921603
beaver,terminal,animals,0.12428439590223159
bee,terminal,animals,0.2794895397056074
beetle,terminal,animals,0.4693404193514162
belt,terminal,artifacts,1.0246270153105927
bicycle,terminal,artifacts,2.014905513441885
birds,intermediate,animals,2.9390001945844806
blackbird,terminal,animals,0.218533978214719
blindworm,terminal,animals,0.00446154931652617
blouse,terminal,artifacts,0.6181353359847167
boa,terminal,animals,0.011835843342640786
boat,terminal,artifacts,6.101526530186011
boots,terminal,artifacts,0.9834355822949677
bottle,terminal,artifacts,3.0393748240006007
bow,terminal,artifacts,0.18381660919118306
bowl,terminal,artifacts,1.8875846314565654
bra,terminal,artifacts,0.671563159815488
bumblebee,terminal,animals,0.019631731742351548
bus,terminal,artifacts,4.345962485277431
butterfly,terminal,animals,0.2683455232777679
caiman,terminal,animals,0.0033864618150020714
can_opener,terminal,artifacts,0.014006226899407441
canary,terminal,animals,0.03570494351318319
cannon,terminal,artifacts,0.8868957607480402
cap,terminal,artifacts,1.8631559088986762
car,terminal,artifacts,29.790074661790772
carriage,terminal,artifacts,1.8767520089846965
cart,terminal,artifacts,2.1600568841102312
cat,terminal,animals,3.7745934765396503
caterpillar,terminal,animals,0.12921092995579508
cello,terminal,artifacts,0.26601887712843264
chameleon,terminal,animals,0.026604393979291367
chicken,terminal,animals,0.43018062670736174
chisel,terminal,artifacts,0.28087750013400214
clamp,terminal,artifacts,0.34003520436175166
clarinet,terminal,artifacts,0.15999165396646742
clothing,intermediate,artifacts,12.892124255695709
club,terminal,artifacts,0.4310342183851996
coat,terminal,artifacts,4.244717025391061
cobra,terminal,animals,0.06607228173018534
cockchafer,terminal,animals,5.183654017310361e-5
cockroach,terminal,animals,0.08974556974661942
colander,terminal,artifacts,0.034714082878495096
cow,terminal,animals,0.7443116532535111
cricket,terminal,animals,0.021074162882904098
crocodile,terminal,animals,0.21791234879205063
crow,terminal,animals,0.15942091371248338
crowbar,terminal,artifacts,0.17758008990440396
cuckoo,terminal,animals,0.19788793611289643
cymbals,terminal,artifacts,0.03304880649150256
dagger,terminal,artifacts,0.5844336755211254
dinosaur,terminal,animals,0.05130259363565948
dog,terminal,animals,9.892151557225604
dolphin,terminal,animals,0.2427225238897398
donkey,terminal,animals,0.5595891325717177
double_barrelled_shotgun,terminal,artifacts,0.0012440383742542559
double_bass,terminal,artifacts,0.1308322315989871
dove,terminal,animals,0.10647630881740214
dragonfly,terminal,animals,0.06917483904520504
dress,terminal,artifacts,3.3484598599783686
drill,terminal,artifacts,0.8515639203605693
dromedary,terminal,animals,0.02382295104965742
drum,terminal,artifacts,0.34093976907809687
drum_set,terminal,artifacts,0.010316216360830206
duck,terminal,animals,0.4025242139124551
eagle,terminal,animals,0.32825966684893604
earwig,terminal,animals,0.022503020127646493
eel,terminal,animals,0.3959742839925546
electric_kettle,terminal,artifacts,0.14118302583879067
elephant,terminal,animals,0.3513131244868641
falcon,terminal,animals,0.16879057654573598
file,terminal,artifacts,0.24668232105512852
filling_knife,terminal,artifacts,0.011770515562234095
fish,intermediate,animals,0.8606982439363443
flea,terminal,animals,0.1345446775084277
flute,terminal,artifacts,0.7226972219212188
fly,terminal,animals,0.6032862945315929
fork,terminal,artifacts,1.0785998779473405
fox,terminal,animals,0.6436104100398911
fridge,terminal,artifacts,1.3601231882871916
frog,terminal,animals,0.3488089415057514
fruit_fly,terminal,animals,0.010659697356912124
gecko,terminal,animals,0.01173786925481685
giraffe,terminal,animals,0.07910503549688219
glass,terminal,artifacts,3.054956652292018
go-cart,terminal,artifacts,0.021518170576279156
grasshopper,terminal,animals,0.06313182187782122
grater,terminal,artifacts,0.043753280847061704
grenade,terminal,artifacts,0.5273339878936024
guitar,terminal,artifacts,1.9806549198191543
hammer,terminal,artifacts,1.39202635477149
hamster,terminal,animals,0.13010656588132244
harmonica,terminal,artifacts,0.1222761825103008
harp,terminal,artifacts,0.10575054819290358
harpsichord,terminal,artifacts,0.23340701869715813
hat,terminal,artifacts,3.971577376313774
hedgehog,terminal,animals,0.13356066889118576
helicopter,terminal,artifacts,3.2213669908085487
heron,terminal,animals,0.24336649923786005
hippopotamus,terminal,animals,0.011023960053801194
horse,terminal,animals,8.21620575029014
hot_air_balloon,terminal,artifacts,0.09475387776655482
hovercraft,terminal,artifacts,0.08861067335303913
iguana,terminal,animals,0.05466594705335708
insects,intermediate,animals,2.221193401154646
jeep,terminal,artifacts,0.7095099067133562
kangaroo,terminal,animals,0.08093463577922944
kettle,terminal,artifacts,1.1397821764860734
kitchen utensils,intermediate,artifacts,11.06119821082944
knife,terminal,artifacts,4.878427818550228
knuckle_dusters,terminal,artifacts,0.010568749168416072
lawn_mower,terminal,artifacts,0.0628097336523201
leech,terminal,animals,0.042981326486171305
level,terminal,artifacts,0.05305579296507598
lion,terminal,animals,0.32626756123298434
lizard,terminal,animals,0.26958003022463845
llama,terminal,animals,0.05958278387049255
louse,terminal,animals,0.08173403389282476
machine_gun,terminal,artifacts,0.20269607363937736
magpie,terminal,animals,0.07118522293249549
mammals,intermediate,animals,18.773050300065993
microwave_oven,terminal,artifacts,0.13792340039087858
mittens,terminal,artifacts,0.030301936054047206
mixer,terminal,artifacts,0.10621908352928702
monitor_lizard,terminal,animals,0.01659857111739072
monkey,terminal,animals,0.308500799346568
mosquito,terminal,animals,0.055457431241584296
moth,terminal,animals,0.18730182548562468
motorbike,terminal,artifacts,0.9126204631760629
mouse,terminal,animals,0.7909149872111296
mug,terminal,artifacts,1.1756699622519662
musical instruments,intermediate,artifacts,4.2788759133518015
nail,terminal,artifacts,0.266260016998882
nutcracker,terminal,artifacts,0.003041289222980157
orca,terminal,animals,0.006910058569605223
organ,terminal,artifacts,1.144047334644421
ostrich,terminal,animals,0.04888487701969677
oven,terminal,artifacts,1.0894065004083793
owl,terminal,animals,0.44806900207537226
paint_brush,terminal,artifacts,0.11315976141772821
pan,terminal,artifacts,0.7325118012331531
parakeet,terminal,animals,0.06898929546613146
parrot,terminal,animals,0.40509418509500494
peacock,terminal,animals,0.07975720060811933
pelican,terminal,animals,0.01811682228816631
penguin,terminal,animals,0.07058450351201612
percolator,terminal,artifacts,0.09337912807126811
pheasant,terminal,animals,0.2762428601210229
piano,terminal,artifacts,1.9694824557161896
pickaxe,terminal,artifacts,0.048557871972528185
pig,terminal,animals,0.5383722417537621
piranha,terminal,animals,0.02427691214392092
pistol,terminal,artifacts,1.0715392191567923
place_mat,terminal,artifacts,0.00878398862534984
plane,terminal,artifacts,0.09472092197468407
plate,terminal,artifacts,3.2910345602333666
plough,terminal,artifacts,0.4564783733730279
polar_bear,terminal,animals,0.020246750677797062
pot,terminal,artifacts,1.270241057931859
pullover,terminal,artifacts,0.2755729163466978
python,terminal,animals,0.044945438055394187
rabbit,terminal,animals,0.7811118894434339
reptiles,intermediate,animals,1.4452129861337957
rhinoceros,terminal,animals,0.05364560004817309
rifle,terminal,artifacts,0.2763861157977765
robin,terminal,animals,0.20606129091147057
rocket,terminal,artifacts,0.38819537836935475
rooster,terminal,animals,0.010132327152281146
rope,terminal,artifacts,2.5479472391794316
salamander,terminal,animals,0.014121011197445292
sardine,terminal,animals,0.02517503181229551
saw,terminal,artifacts,0.7693513866282252
saxophone,terminal,artifacts,0.31782571581396263
scales,terminal,artifacts,0.09490139202110544
scarf,terminal,artifacts,1.052271604139224
scooter,terminal,artifacts,0.23032155879084196
screwdriver,terminal,artifacts,0.6726729756394789
seagull,terminal,animals,0.12328498925575777
shark,terminal,animals,0.18365455298699912
shield,terminal,artifacts,0.33650987648338054
shirt,terminal,artifacts,3.3457620446502583
shoes,terminal,artifacts,1.1413561569535933
shovel,terminal,artifacts,0.37708446071098994
sieve,terminal,artifacts,0.10878579503052632
skateboard,terminal,artifacts,0.11923472383846136
skirt,terminal,artifacts,1.8432365387027523
slingshot,terminal,artifacts,0.042918489313103145
snake,terminal,animals,0.5957078713339369
socks,terminal,artifacts,0.19505995691708
sparrow,terminal,animals,0.14270206766315693
spatula,terminal,artifacts,0.034971730135634586
spear,terminal,artifacts,0.6831579735925832
sperm_whale,terminal,animals,0.03506203712380341
spider,terminal,animals,0.30942816742751
spoon,terminal,artifacts,1.0567574917047098
squirrel,terminal,animals,0.19371628472030772
stick,terminal,artifacts,0.4358990531917091
stickleback,terminal,animals,0.09514739651523925
stork,terminal,animals,0.030667402575947706
stove,terminal,artifacts,0.7505913542675451
submarine,terminal,artifacts,0.5709209822870314
subway_train,terminal,artifacts,0.010686876057270145
suit,terminal,artifacts,4.031076482868928
swallow,terminal,animals,0.02115223829976885
swan,terminal,animals,0.14190203169050775
sweater,terminal,artifacts,0.9210763095185941
sword,terminal,artifacts,1.4295415635749995
synthesizer,terminal,artifacts,0.03995962854528025
t-shirt,terminal,artifacts,0.1623656877732796
tambourine,terminal,artifacts,0.09809609678136572
tank,terminal,artifacts,0.39213278996980205
taxi,terminal,artifacts,1.8165786411834453
teaspoon,terminal,artifacts,0.1078719050891512
tie,terminal,artifacts,1.328003950080659
tiger,terminal,animals,0.22825213157709612
toad,terminal,animals,0.30239988046160415
toaster,terminal,artifacts,0.229590256858764
tools,intermediate,artifacts,10.551301625009755
top,terminal,artifacts,1.3540652507376494
tortoise,terminal,animals,0.1380379325446422
towel,terminal,artifacts,0.2587148461405782
tracksuit,terminal,artifacts,0.3742165790485826
tractor,terminal,artifacts,1.3128947526350516
trailer,terminal,artifacts,0.7873328564791681
train,terminal,artifacts,5.7748607155051035
tram,terminal,artifacts,0.44430075770941685
trombone,terminal,artifacts,0.14318496275316053
truck,terminal,artifacts,1.9286101527971897
trumpet,terminal,artifacts,0.4768631633758283
turkey,terminal,animals,0.05261312568354584
turtle,terminal,animals,0.08449629213201448
vacuum_cleaner,terminal,artifacts,0.7323999257570306
van,terminal,artifacts,3.3493922374670793
vehicles,intermediate,artifacts,36.961237448255396
violin,terminal,artifacts,0.3383452209214337
viper,terminal,animals,0.061298002738619635
vulture,terminal,animals,0.031326658751201816
wasp,terminal,animals,0.1601636001313025
weapons,intermediate,artifacts,6.274499009715311
whale,terminal,animals,0.2120752379251963
wheelbarrow,terminal,artifacts,0.8495610359420733
whip,terminal,artifacts,0.5566992519444373
whisk,terminal,artifacts,0.050222031440303495
wire_brush,terminal,artifacts,0.03785282968585624
wok,terminal,artifacts,0.01415563230402389
wolf,terminal,animals,0.21691394495403926
woodpecker,terminal,animals,0.12020227725625204
worm,terminal,animals,0.4027687868941736
wrench,terminal,artifacts,0.07572175255547063
zebra,terminal,animals,0.024249798982898935
zeppelin,terminal,artifacts,0.02254086859830668
