category,level,domain,gain
accordion,terminal,artifacts,0.3420621760671766
airplane,terminal,artifacts,0.22581160665376265
alligator,terminal,animals,0.16152743089271152
animals,starting,animals,29.011103183850906
apron,terminal,artifacts,0.6287294746640888
artifacts,starting,artifacts,35.333391709330556
axe,terminal,artifacts,0.5455553711999107
banjo,terminal,artifacts,0.10190512104513075
bassoon,terminal,artifacts,0.26562930259667683
bat,terminal,animals,0.7392336387171876
bee,terminal,animals,0.3642920505281106
beetle,terminal,animals,1.1128835920494702
belt,terminal,artifacts,1.3385844451350792
bicycle,terminal,artifacts,1.5907388581427495
birds,intermediate,animals,5.201284744470838
blackbird,terminal,animals,0.21576504989125656
blouse,terminal,artifacts,0.8312306038955377
boat,terminal,artifacts,6.1402655764811955
boots,terminal,artifacts,0.8139756942257521
bottle,terminal,artifacts,3.523486534528997
bow,terminal,artifacts,0.07133113408329596
bowl,terminal,artifacts,2.442789640620197
bra,terminal,artifacts,0.7923764619264296
bumblebee,terminal,animals,0.0018607585238688668
bus,terminal,artifacts,4.0875794268011605
butterfly,terminal,animals,0.43157122872856574
canary,terminal,animals,0.027740617070120016
cannon,terminal,artifacts,1.713840127203258
cap,terminal,artifacts,1.7071209349315442
car,terminal,artifacts,36.56861835291046
carriage,terminal,artifacts,1.7837261329240612
cart,terminal,artifacts,2.021117449961598
cat,terminal,animals,4.303601074604706
caterpillar,terminal,animals,0.3647244290251509
cello,terminal,artifacts,0.29613798186335716
chicken,terminal,animals,0.3866486801833022
chisel,terminal,artifacts,0.32962549706294775
clamp,terminal,artifacts,0.253956573055961
clarinet,terminal,artifacts,0.1878699608725389
clothing,intermediate,artifacts,14.636232565714955
coat,terminal,artifacts,4.331675990074038
cockroach,terminal,animals,0.12742268106024707
colander,terminal,artifacts,0.13698481533274673
cow,terminal,animals,0.8989989164958729
crocodile,terminal,animals,0.22584355675528625
crow,terminal,animals,0.3722988530913006
crowbar,terminal,artifacts,0.20610924695869964
dagger,terminal,artifacts,0.39656537132244357
dinosaur,terminal,animals,0.03379540563005484
dog,terminal,animals,13.201108426382836
dolphin,terminal,animals,0.8046252815676078
donkey,terminal,animals,0.31365010146634026
double_bass,terminal,artifacts,0.15366523104128055
dove,terminal,animals,0.043131354816456025
dress,terminal,artifacts,3.076645917625649
drill,terminal,artifacts,1.091127020520286
drum,terminal,artifacts,0.2653805724126393
drum_set,terminal,artifacts,0.010010670738573493
duck,terminal,animals,0.31664982150306425
eel,terminal,animals,0.6391366525446542
elephant,terminal,animals,0.4089547616114194
falcon,terminal,animals,0.18250655766381055
file,terminal,artifacts,0.14866168054576367
fish,intermediate,animals,2.3778604072938423
flea,terminal,animals,0.09461664102411596
flute,terminal,artifacts,0.7042691603315325
fly,terminal,animals,0.5594165658735168
fork,terminal,artifacts,1.0160355157299288
fox,terminal,animals,0.39424537719081076
fridge,terminal,artifacts,1.4950214386614025
frog,terminal,animals,0.5705674351961085
fruit_fly,terminal,animals,0.01388745464107684
giraffe,terminal,animals,0.030935620078694725
glass,terminal,artifacts,3.871174643231807
go-cart,terminal,artifacts,0.021624685070430864
grater,terminal,artifacts,0.052828929634213824
grenade,terminal,artifacts,0.704130581744151
guitar,terminal,artifacts,4.031306074865555
hammer,terminal,artifacts,1.4275832771882984
hamster,terminal,animals,0.10487533090045083
harp,terminal,artifacts,0.11484588894174211
harpsichord,terminal,artifacts,0.2772203940203352
hat,terminal,artifacts,4.079544911469538
hedgehog,terminal,animals,0.2470474438599781
