category,level,domain,gain
accordion,terminal,artifacts,0.15445445664145813
adjustable_spanner,terminal,artifacts,0.025540865281221188
airplane,terminal,artifacts,0.2804794602303021
alligator,terminal,animals,0.1221537542622449
anchovy,terminal,animals,0.01493211888697299
animals,starting,animals,15.790155670087604
ant,terminal,animals,0.13194707471244277
anvil,terminal,artifacts,0.12972700155232925
apron,terminal,artifacts,1.3391053691260597
artifacts,starting,artifacts,18.95463323585309
axe,terminal,artifacts,0.51513320094964965
bagpipe,terminal,artifacts,0.008279121236536595
banjo,terminal,artifacts,0.04017328618149696
bass_guitar,terminal,artifacts,0.09194042218331752
bassoon,terminal,artifacts,0.07545328451107416
bat,terminal,animals,0.2480895184053248
bathing_suit,terminal,artifacts,0.06334962785935411
bazooka,terminal,artifacts,0.019058213718061316
beaver,terminal,animals,0.12328874796764423
bee,terminal,animals,0.2651327585392488
beetle,terminal,animals,0.4545842770151593
belt,terminal,artifacts,0.8400133840584353
bicycle,terminal,artifacts,2.3809248992643552
birds,intermediate,animals,2.89562498456453
blackbird,terminal,animals,0.22182472732940423
blindworm,terminal,animals,0.004464658598147979
blouse,terminal,artifacts,0.5089681957030229
boa,terminal,animals,0.01182275184397843
boat,terminal,artifacts,6.026702465473711
boots,terminal,artifacts,1.074662577032191
bottle,terminal,artifacts,2.409662705351449
bow,terminal,artifacts,0.2051210634248102
bowl,terminal,artifacts,1.3531393238621565
bra,terminal,artifacts,0.5577564949396739
bumblebee,terminal,animals,0.04623289154008545
bus,terminal,artifacts,4.424151335597658
butterfly,terminal,animals,0.2650615788178149
caiman,terminal,animals,0.003322983509687836
can_opener,terminal,artifacts,0.014047941352305374
canary,terminal,animals,0.03777626507826495
cannon,terminal,artifacts,0.80028994188909
cap,terminal,artifacts,1.9564985439725204
car,terminal,artifacts,19.273995365692304
carriage,terminal,artifacts,1.9178161848117177
cart,terminal,artifacts,2.320818689657885
cat,terminal,animals,3.4695116914194264
caterpillar,terminal,animals,0.08377666439077129
cello,terminal,artifacts,0.2409325940186201
chameleon,terminal,animals,0.026618675539996688
chicken,terminal,animals,0.4498975208093773
chisel,terminal,artifacts,0.24340490883109628
clamp,terminal,artifacts,0.4338444206442102
clarinet,terminal,artifacts,0.12519115150053844
clothing,intermediate,artifacts,11.207199679437036
club,terminal,artifacts,0.431677704671717
coat,terminal,artifacts,4.143969813123223
cobra,terminal,animals,0.06603441541468943
cockchafer,terminal,animals,5.0807121207770434e-5
cockroach,terminal,animals,0.08603882365582
colander,terminal,artifacts,0.012453354408974122
cow,terminal,animals,0.6769721278527295
cricket,terminal,animals,0.021078620664528494
crocodile,terminal,animals,0.21742540283939776
crow,terminal,animals,0.15060858896013654
crowbar,terminal,artifacts,0.17324565626948896
cuckoo,terminal,animals,0.19720603738653802
cymbals,terminal,artifacts,0.03310222352976748
dagger,terminal,artifacts,0.6733897490443469
dinosaur,terminal,animals,0.05315059865698968
dog,terminal,animals,7.568084649351589
dolphin,terminal,animals,0.2213664831357484
donkey,terminal,animals,0.6398399651348229
double_barrelled_shotgun,terminal,artifacts,0.0012449076171970423
double_bass,terminal,artifacts,0.1119637517729617
dove,terminal,animals,0.12207373936132289
dragonfly,terminal,animals,0.06918522855991689
dress,terminal,artifacts,3.410692540560102
drill,terminal,artifacts,0.6252483616809585
dromedary,terminal,animals,0.023813401952771568
drum,terminal,artifacts,0.4328841425558061
drum_set,terminal,artifacts,0.011157961913918955
duck,terminal,animals,0.46012706602795844
eagle,terminal,animals,0.3281987780047391
earwig,terminal,animals,0.022414358874377215
eel,terminal,animals,0.3648391341927949
electric_kettle,terminal,artifacts,0.141420825931295
elephant,terminal,animals,0.3417624507102624
falcon,terminal,animals,0.1676721684387265
file,terminal,artifacts,0.30680524495757144
filling_knife,terminal,artifacts,0.012131410503019378
fish,intermediate,animals,0.7486044221065687
flea,terminal,animals,0.15069650018572714
flute,terminal,artifacts,0.7376653251277472
fly,terminal,animals,0.6184150886575167
fork,terminal,artifacts,1.1662809593590917
fox,terminal,animals,1.0159092786790942
fridge,terminal,artifacts,0.9161860802735506
frog,terminal,animals,0.28733294455503994
fruit_fly,terminal,animals,0.009436294103689513
gecko,terminal,animals,0.011706982296877366
giraffe,terminal,animals,0.08985281516199144
glass,terminal,artifacts,2.765884544689148
go-cart,terminal,artifacts,0.02193033304128423
grasshopper,terminal,animals,0.06309111676612493
grater,terminal,artifacts,0.040883877974614055
grenade,terminal,artifacts,0.454170667497741
guitar,terminal,artifacts,1.5443474080278257
hammer,terminal,artifacts,1.3826181891964575
hamster,terminal,animals,0.14355109881967165
harmonica,terminal,artifacts,0.12236607323347437
harp,terminal,artifacts,0.09959714923027214
harpsichord,terminal,artifacts,0.21918807727257988
hat,terminal,artifacts,3.9042722460960975
hedgehog,terminal,animals,0.11322883686814861
helicopter,terminal,artifacts,2.684518068827359
heron,terminal,animals,0.20880570685544847
hippopotamus,terminal,animals,0.011030201731322074
horse,terminal,animals,6.977894157294173
hot_air_balloon,terminal,artifacts,0.08936147557651651
hovercraft,terminal,artifacts,0.12923807153932962
iguana,terminal,animals,0.054705688325848864
insects,intermediate,animals,2.0618839030745884
jeep,terminal,artifacts,0.6364045425215041
kangaroo,terminal,animals,0.09337612406172315
kettle,terminal,artifacts,0.650534487810138
kitchen utensils,intermediate,artifacts,7.471467136288322
knife,terminal,artifacts,3.6264252548286033
knuckle_dusters,terminal,artifacts,0.010585386951631767
lawn_mower,terminal,artifacts,0.06101554664049549
leech,terminal,animals,0.043368755405358964
lion,terminal,animals,0.32944801232628224
lizard,terminal,animals,0.28275677662195936
llama,terminal,animals,0.0708232695131739
louse,terminal,animals,0.07734813650574154
machine_gun,terminal,artifacts,0.21268457744422337
magpie,terminal,animals,0.03858872314641648
mammals,intermediate,animals,15.177883546739587
microwave_oven,terminal,artifacts,0.1186790515092242
mittens,terminal,artifacts,0.017388550782638547
mixer,terminal,artifacts,0.09596323858516287
monitor_lizard,terminal,animals,0.012135913700114982
monkey,terminal,animals,0.32261566154761
mosquito,terminal,animals,0.05313776054925017
moth,terminal,animals,0.17948521958381475
motorbike,terminal,artifacts,1.015755572824935
mouse,terminal,animals,0.7161822615505993
mug,terminal,artifacts,1.0634719813921472
musical instruments,intermediate,artifacts,3.457935359635552
nail,terminal,artifacts,0.20564967797116707
nutcracker,terminal,artifacts,0.0030440372741605314
orca,terminal,animals,0.006907827203784149
organ,terminal,artifacts,1.0676501847834423
ostrich,terminal,animals,0.052986099792974216
oven,terminal,artifacts,0.5008907804082086
owl,terminal,animals,0.4034316398856372
paint_brush,terminal,artifacts,0.11206976517974188
pan,terminal,artifacts,0.249652381232867
parakeet,terminal,animals,0.06898999710831001
parrot,terminal,animals,0.40194082433375805
peacock,terminal,animals,0.05769838670181161
pelican,terminal,animals,0.03147797135059808
penguin,terminal,animals,0.05764890539052808
percolator,terminal,artifacts,0.09362292465657628
pheasant,terminal,animals,0.30869242573049227
piano,terminal,artifacts,1.4844741118472156
pickaxe,terminal,artifacts,0.0486686555363411
pig,terminal,animals,0.5467960671393723
piranha,terminal,animals,0.02419995857061363
pistol,terminal,artifacts,0.9971494331536626
place_mat,terminal,artifacts,0.0087976606980235891
plane,terminal,artifacts,0.03626506618599314
plate,terminal,artifacts,1.6456107374823337
plough,terminal,artifacts,0.493493498680242
polar_bear,terminal,animals,0.02025021493464814
pot,terminal,artifacts,1.0917644881586719
pullover,terminal,artifacts,0.19943919162041718
python,terminal,animals,0.06261597512078913
rabbit,terminal,animals,0.6777306048564701
reptiles,intermediate,animals,1.3456719137049407
rhinoceros,terminal,animals,0.05363789222297294
rifle,terminal,artifacts,0.300076666766894
robin,terminal,animals,0.15011791400755703
rocket,terminal,artifacts,0.5332163033078703
rooster,terminal,animals,0.010138562182365082
rope,terminal,artifacts,2.1570281106967437
salamander,terminal,animals,0.014118718515976625
sardine,terminal,animals,0.02515629939956388
saw,terminal,artifacts,1.0635784635948746
saxophone,terminal,artifacts,0.31084394036961827
scarf,terminal,artifacts,1.1266760852008193
scooter,terminal,artifacts,0.08097640014207466
screwdriver,terminal,artifacts,0.5493529507612491
seagull,terminal,animals,0.15807562198230454
shark,terminal,animals,0.15244434337263238
shield,terminal,artifacts,0.23619963180497439
shirt,terminal,artifacts,2.8762057159333017
shoes,terminal,artifacts,1.133868235969664
shovel,terminal,artifacts,0.3119854074443426
sieve,terminal,artifacts,0.014110309124569754
skateboard,terminal,artifacts,0.142603888768556
skirt,terminal,artifacts,1.2329167591998407
slingshot,terminal,artifacts,0.04307912330183335
snake,terminal,animals,0.5870887376624153
socks,terminal,artifacts,0.21834111885602653
sparrow,terminal,animals,0.16344398810778057
spatula,terminal,artifacts,0.034748596088065756
